class_name,day,subject,teacher,room,number,time
5б класс,понедельник,русский язык,Екатерина,211,1,09:00-09:45
5б класс,понедельник,литература,Екатерина,211,2,09:55-10:35
5б класс,понедельник,английский,Инна,211,3,10:50-11:30
5б класс,понедельник,ТРИЗ,Виктория,-12,4,11:50-12:30
5б класс,понедельник,математика,Лариса,211,5,12:40-13:20
5б класс,понедельник,физкультура,Денис,,6,13:30-14:10
5б класс,понедельник,обед, ,,7,14:15-14:35
5б класс,вторник,проекты,Маша,-21,1,09:00-09:45
5б класс,вторник,русский язык,Екатерина,211,2,09:55-10:35
5б класс,вторник,история,Стася,211,3,10:50-11:30
5б класс,вторник,математика,Лариса,211,4,11:50-12:30
5б класс,вторник,английский,Инна,211,5,12:40-13:20
5б класс,вторник,биология,Николай,211,6,13:30-14:10
5б класс,вторник,обед, ,,7,14:15-14:35
5б класс,среда,география,Виктория,-12,1,09:00-09:45
5б класс,среда,информатика,Фил,212,2,09:55-10:35
5б класс,среда,английский,Инна,211,3,10:50-11:30
5б класс,среда,математика,Лариса,211,4,11:50-12:30
5б класс,среда,русский язык,Екатерина,211,5,12:40-13:20
5б класс,среда,физкультура,Денис,,6,13:30-14:10
5б класс,среда,обед, ,,7,14:15-14:35
5б класс,четверг,ИЗО,Наталья,211,1,09:00-09:45
5б класс,четверг,русский язык,Екатерина,211,2,09:55-10:35
5б класс,четверг,история,Стася,01,3,10:50-11:30
5б класс,четверг,литература,Екатерина,211,4,11:50-12:30
5б класс,четверг,математика,Лариса,211,5,12:40-13:20
5б класс,четверг,творчество,Маша,-21,6,13:30-14:10
5б класс,четверг,обед, ,,7,14:15-14:35
5б класс,пятница,математика,Лариса,211,1,09:00-09:45
5б класс,пятница,русский язык,Екатерина,211,2,09:55-10:35
5б класс,пятница,литература,Екатерина,211,3,10:50-11:30
5б класс,пятница,тренинг,Анастасия Х.,211,4,11:50-12:30
5б класс,пятница,английский,Инна,211,5,12:40-13:20
5б класс,пятница,ИЗО,Наталья,211,6,13:30-14:10
5б класс,пятница,обед, ,,7,14:15-14:35
6а класс,понедельник,математика,Лариса С.,212,1,09:00-09:45
6а класс,понедельник,русский язык,Ольга Николаевна,209,2,09:55-10:35
6а класс,понедельник,английский,Елена,210,3,10:50-11:30
6а класс,понедельник,биология,Николай,211,4,11:50-12:30
6а класс,понедельник,тренинг,Анастасия Х.,-11,5,12:40-13:20
6а класс,понедельник,литература,Стася,01,6,13:30-14:10
6а класс,понедельник,обед, ,,7,14:15-14:35
6а класс,вторник,английский,Елена,214,1,09:00-09:45
6а класс,вторник,математика,Лариса С.,212,2,09:55-10:35
6а класс,вторник,русский язык,Ольга Николаевна,209,3,10:50-11:30
6а класс,вторник,математика+,Лариса С.,212,4,11:50-12:30
6а класс,вторник,история,Стася,01,5,12:40-13:20
6а класс,вторник,физкультура,Анатолий,,6,13:30-14:10
6а класс,вторник,обед, ,,7,14:15-14:35
6а класс,среда,информатика,Фил,212,1,09:00-09:45
6а класс,среда,биология,Николай,215,2,09:55-10:35
6а класс,среда,русский язык,Ольга Николаевна,209,3,10:50-11:30
6а класс,среда,английский,Елена,214,4,11:50-12:30
6а класс,среда,МХК/ТРИЗ,Виктория,-12,5,12:40-13:20
6а класс,среда,литература,Стася,01,6,13:30-14:10
6а класс,среда,обед, ,,7,14:15-14:35
6а класс,четверг,английский,Елена,215,1,09:00-09:45
6а класс,четверг,классный час,Анастасия Х.,-12,2,09:55-10:35
6а класс,четверг,математика,Лариса С.,212,3,10:50-11:30
6а класс,четверг,история,Стася,01,4,11:50-12:30
